name,type,lat,long,dates,trip,stay
Harry Reid International Airport,AIRPORT,36.08204718885973, -115.13621407678643,1/2/2026;1/13/2026,Desert or Dessert??,stay
Tule Springs Fossil Bed's,NM,36.3487609386247, -115.2904797292476,1/2/2026,Desert or Dessert??,through
Death Valley,NP,36.580112051399595, -117.0606240329231,1/2/2026-1/6/2026,Desert or Dessert??,stay
Manzanar,NHS,36.72830367637733, -118.15144829561154,1/3/2026,Desert or Dessert??,visit
Mojave,NPres,35.12414853571588, -115.52031761034107,1/6/2026-1/8/2026,Desert or Dessert??,stay
Castle Mountains,NM,35.301953032112614, -115.12684239035487,1/7/2026,Desert or Dessert??,visit
Cabrillo,NM,32.67263552125186, -117.24148783564007,1/8/2026,Desert or Dessert??,through
Joshua Tree,NP,33.89086257253763, -115.89501298526112,1/8/2026-1/11/2026,Desert or Dessert??,stay
Lake Mead,NRA,36.15540048651489, -114.45587385963265,1/11/2026-1/13/2026,Desert or Dessert??,stay
Pipe Spring,NM,36.86277374870997, -112.73747402902933,1/12/2026,Desert or Dessert??,visit
Zion,NP,37.328187280171676, -113.02268316149706,1/12/2026,Desert or Dessert??,visit
Harry Reid International Airport,AIRPORT,36.08204718885973, -115.13621407678643,1/2/2026;1/13/2026,Desert or Dessert??,stay
