name,type,lat,long,dates,trip,stay
Swelter Shelter Petroglyphs,petroglyph,40.439255453937704, -109.29177873606974,5/23/2025,,
Ute Indian Petroglyphs,petroglyph,38.73764691164049, -109.51858118481002,5/25/2025,,
Pipestone Quarry,quarry,44.01350445349972, -96.32521183142151,7/19/2025,,
Effigy Mounds ,mound,43.08900791616202, -91.1856634333162,7/20/2025,,
Rock Art Site,petroglyph,34.02597543413127, -116.14707855461828,1/10/2026,,
Burial Mound,mound,34.978129088362365, -85.81001240536865,2/14/2026,,
Great Temple Mound,mound,32.837122542913676, -83.60824706259241,2/15/2026,,
Lesser Temple Mound,mound,32.83717070062108, -83.60817814841471,2/15/2026,,
Cornfield Mound,mound,32.84156120640424, -83.60562992260904,2/15/2026,,
Southeast Mound,mound,32.84058196462654, -83.60471254804733,2/15/2026,,
Earth Lodge,mound,32.8411000164612, -83.60508852122837,2/15/2026,,
Mound B,mound,31.467814059784487, -84.94057162113909,2/15/2026,,
Mound A,mound,31.468587146656866, -84.9422382082901,2/15/2026,,
Mound H,mound,31.46669182554518, -84.94311535942221,2/15/2026,,
Mound G,mound,31.466842386607752, -84.94771238500047,2/15/2026,,
Mound F,mound,31.466825022829784, -84.94909669563954,2/15/2026,,
